"asc_tele","b_childlt6","b_commtime","b_efact9","b_jobhome","b_manconst","b_jobconst","b_age","logLike"
0,0,0,0,0,0,0,0,-115.062431972951
0,0,0,0,0,0,0,0,-115.062431972951
0,0,0,0,0,0,0,0,-115.062431972951
-7.68000001698966e-06,1.15200000072946e-05,-0.00100544000000809,4.1386880002392e-05,3.19999999919674e-05,-7.16799999645446e-05,-6.27199999507866e-05,-2.94399999984307e-05,-114.766921589043
0.368216899670277,1.12847153484771,0.00202698164638609,3.55897364930089,3.35998683567025,-5.27590533890487,-4.60643185805269,-1.79147615329844,-70.4305483014905
1.22810310647428,0.899634395821764,-0.0163008338692118,3.02626675999463,4.19656541275619,-5.83455829624115,-4.02844685060092,-1.67314081924443,-62.4055400876885
1.33342348659084,-1.40869109989866,-0.00422308831405449,2.45532436394714,3.77113011506957,-6.3908991980348,-2.77979951299795,-2.97175207203049,-53.1029401316093
1.56105152744654,-2.00370064443882,-0.010244336666909,2.54952966999936,3.80580094238442,-5.9716344176001,-2.72243659494183,-2.97613861390772,-50.2598464684688
1.94591779690321,-2.08273662529557,-0.0233930160057933,1.79855400248935,3.45674595901928,-4.48185312789111,-2.91904970787789,-2.78670735976536,-46.1365364883808
1.47757664151654,-1.66379630455215,-0.021281048656777,2.15081467537389,3.00778779532778,-4.81312580374223,-2.66624122732127,-1.87198230633977,-45.4777423402244
1.3078344852098,-1.03935410519984,-0.0205007490411327,2.17777645842359,3.12566775646754,-4.668551620367,-2.46060968312151,-2.25038406393089,-45.3783355714579
1.14690489135262,-1.22852470342164,-0.0169076561918367,1.64287387442866,3.29441633577367,-4.59500919501021,-2.78606307198159,-2.16737101691508,-45.0897596704625
1.04319955982018,-1.35034129824156,-0.0200050086849902,1.84588757188209,3.34404259000058,-4.45079007228169,-2.53508625426691,-1.98606021796427,-44.8583777335238
0.807000758784873,-1.25901252777874,-0.018353112687963,1.83063490374504,3.42399358448536,-4.38440894073167,-2.45066059081293,-1.98330045232596,-44.7689856941064
0.387937605645906,-1.09709841815967,-0.0170880069428383,1.7366288039921,3.6450031901467,-4.17947820218605,-2.34836154189228,-1.8671425160146,-44.7015844941683
0.283377714451986,-1.14183901461559,-0.0165402769397073,1.69554481911597,3.69821448750753,-4.13837054932932,-2.32009935422718,-1.84749244268127,-44.6963142627013
0.283837769794505,-1.13157619061082,-0.0168131239363325,1.70411565203423,3.71680964183497,-4.14308109745388,-2.32840784199563,-1.83775082732964,-44.6945336280638
0.266910224196909,-1.12678435209904,-0.016915818375867,1.7064035980751,3.7402035910743,-4.14524887056332,-2.33295820152191,-1.83729747230701,-44.693219030813
0.0711612135072371,-1.11401851471746,-0.017305002838965,1.71807981820612,3.9643349493357,-4.15900501784026,-2.34776850674778,-1.83617383739751,-44.6851544878294
-0.296607287853086,-1.10734508811938,-0.0174977184812986,1.72279258532279,4.34517240432526,-4.16744096184483,-2.35498968384521,-1.83707745590261,-44.6747842085925
-0.296608498901398,-1.10734603048559,-0.017463303092917,1.72279255627344,4.34517152777328,-4.16744119634858,-2.35498939009061,-1.83707823741694,-44.6747366070646
-0.321936911269135,-1.12348113907596,-0.0167801698682699,1.7203273105526,4.32510517022579,-4.17249740021008,-2.35190110976507,-1.85280277941552,-44.6724665486755
-0.323526476345011,-1.13308412901624,-0.0167843285759663,1.71209030438638,4.32922996605146,-4.17232210381733,-2.34310686199984,-1.85218526243827,-44.6714706032016
-0.331358412302502,-1.14963518950305,-0.0171009536599407,1.72218636373323,4.35796507083063,-4.15207877534376,-2.32824904397425,-1.8545961496989,-44.6713740241332
-0.344706527611256,-1.14099962782148,-0.0170474111419006,1.7077748035195,4.3733005154939,-4.16630146995683,-2.34007055502827,-1.8505576215164,-44.6703201016991
-0.364755257863995,-1.13744878285889,-0.0169746983021727,1.710989731093,4.38627978553401,-4.17274070897181,-2.33580033657575,-1.8517114092409,-44.6697663818386
-0.452604539516283,-1.14305511474336,-0.0168065558367729,1.71564837754826,4.45736063272736,-4.1746684218273,-2.34096809661625,-1.84505799384583,-44.6684148167659
-0.730095925030988,-1.1316059706605,-0.0165391538566933,1.71091532537588,4.72129891365655,-4.17119117278288,-2.33517498190791,-1.86767460146962,-44.6649613728043
-1.11385989498816,-1.13041117205456,-0.0166760786898487,1.72113031487615,5.1055419736946,-4.18367056111986,-2.32121062791927,-1.85381161227618,-44.658725509275
-1.90446908868368,-1.13635885351753,-0.0168634842793036,1.71110137483748,5.90938744643909,-4.16589323984734,-2.32566059812387,-1.84435518734553,-44.6498617305091
