id,commtime,cso9ft2,efact9,jobconst,manconst,childlt6,c3h17m,female,jobhome,age,commtime_m,commtime_f,cso9ft2_f,cso9ft2_m,efact9_f,efact9_m,jobconst_f,jobconst_m,manconst_f,manconst_m,childlt6_f,childlt6_m,c3h17m_f,c3h17m_m,female_f,female_m,jobhome_f,jobhome_m,age_f,age_m
380,60,-1.0259,0.03869,0,0,0,1,1,1,0,60,0,-1.0259,0,0.03869,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
386,60,0.34727,-0.36184,0,1,0,1,0,1,0,0,60,0,0.34727,0,-0.36184,0,0,0,1,0,0,0,1,0,0,0,1,0,0
391,100,0.84209,0.40385,1,0,0,1,1,1,0,100,0,0.84209,0,0.40385,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
392,45,0.89663,-0.75171,1,1,1,0,0,1,0,0,45,0,0.89663,0,-0.75171,0,1,0,1,0,1,0,0,0,0,0,1,0,0
394,30,1.87895,0.51713,0,0,0,0,0,1,0,0,30,0,1.87895,0,0.51713,0,0,0,0,0,0,0,0,0,0,0,1,0,0
407,120,-0.63584,0.02714,0,0,0,1,0,1,0,0,120,0,-0.63584,0,0.02714,0,0,0,0,0,0,0,1,0,0,0,1,0,0
410,55,-0.77594,0.37202,0,0,0,1,0,1,1,0,55,0,-0.77594,0,0.37202,0,0,0,0,0,0,0,1,0,0,0,1,0,1
417,35,-0.68269,0.36857,0,0,0,1,0,1,1,0,35,0,-0.68269,0,0.36857,0,0,0,0,0,0,0,1,0,0,0,1,0,1
426,20,2.00849,-0.44636,0,0,0,0,0,1,1,0,20,0,2.00849,0,-0.44636,0,0,0,0,0,0,0,0,0,0,0,1,0,1
430,50,-0.52268,-0.07458,1,1,0,0,1,0,0,50,0,-0.52268,0,-0.07458,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
432,120,0.67456,0.58265,0,0,1,1,0,1,0,0,120,0,0.67456,0,0.58265,0,0,0,0,0,1,0,1,0,0,0,1,0,0
443,55,-1.04067,1.01251,0,0,1,1,0,1,0,0,55,0,-1.04067,0,1.01251,0,0,0,0,0,1,0,1,0,0,0,1,0,0
459,45,0.1141,-0.5562,0,0,0,0,1,1,1,45,0,0.1141,0,-0.5562,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
517,60,-0.82052,1.01164,0,0,0,1,1,1,1,60,0,-0.82052,0,1.01164,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
